"atoomnummer";"symbool";"tr_nl";"nl_variant";"tr_pap_cw";"pap_cw_variant";"tr_en";"tr_es"
1;"H";"waterstof";;"hidrógeno";;"hydrogen";"hidrógeno"
2;"He";"helium";;"helio";;"helium";"helio"
3;"Li";"lithium";;"lutio";;"lithium";"litio"
4;"Be";"beryllium";;"berilio";;"beryllium";"berilio"
5;"B";"boor";"borium";"bor";;"boron";"boro"
6;"C";"koolstof";;"karbon ";;"carbon";"carbono"
7;"N";"stikstof";;"nitrógeno";;"nitrogen";"nitrógeno"
8;"O";"zuurstof";;"oksígeno";;"oxygen";"oxígeno"
9;"F";"fluor";;"fluor";;"fluorine";"flúor"
10;"Ne";"neon";;"neòn";;"neon";"neón"
11;"Na";"natrium";;"natrio, sodio";;"sodium";"sodio"
12;"Mg";"magnesium";;"magnesio";;"magnesium";"magnesio"
13;"Al";"aluminium";;"aluminio";;"aluminium";"aluminio"
14;"Si";"silicium";;"silisio";;"silicon";"silicio"
15;"P";"fosfor";;"fósforo";;"phosphorus";"fósforo"
16;"S";"zwavel";;"suafel";;"sulfur";"azufre"
17;"Cl";"chloor";;"kloro";;"chlorine";"cloro"
18;"Ar";"argon";;"argòn";;"argon";"argón"
19;"K";"kalium";;"kalio, potasio";;"potassium";"potasio"
20;"Ca";"calcium";;"kalsio";;"calcium";"calcio"
21;"Sc";"scandium";;"skandio";;"scandium";"escandio"
22;"Ti";"titanium";"titaan";"titan";;"titanium";"titanio"
23;"V";"vanadium";;"vanadio";;"vanadium";"vanadio"
24;"Cr";"chroom";;"kromo";;"chromium";"cromo"
25;"Mn";"mangaan";;"mangano";;"manganese";"manganeso"
26;"Fe";"ijzer";;"heru";;"iron";"hierro"
27;"Co";"kobalt";;"kobalt";;"cobalt";"cobalto"
28;"Ni";"nikkel";;"nikel";;"nickel";"níquel"
29;"Cu";"koper";;"koper";;"copper";"cobre"
30;"Zn";"zink";;"zenk";;"zinc";"zinc"
31;"Ga";"gallium";;"gaio";;"gallium";"galio"
32;"Ge";"germanium";;"germanio";;"germanium";"germanio"
33;"As";"arseen";"arsenicum";"arsenio";"arséniko, arseno";"arsenic";"arsénico"
34;"Se";"seleen";"selenium";"seleno";;"selenium";"selenio"
35;"Br";"broom";;"bromo";;"bromine";"bromo"
36;"Kr";"krypton";;"kriptòn";;"krypton";"kriptón"
37;"Rb";"rubidium";;"rubidio";;"rubidium";"rubidio"
38;"Sr";"strontium";;"strontio";;"strontium";"estroncio"
39;"Y";"yttrium";;"ítrio";;"yttrium";"ytrio"
40;"Zr";"zirkonium";"zirkoon";"zirkonio";;"zirconium";"zirconio"
41;"Nb";"niobium";;"niobio";;"niobium";"niobio"
42;"Mo";"molybdeen";"molybdenium";"molibdeno";;"molybdenum";"molibdeno"
43;"Tc";"technetium";;"tèknesio";;"technetium";"tecnecio"
44;"Ru";"ruthenium";;"ruthenio";;"ruthenium";"rutenio"
45;"Rh";"rodium";;"rhodio";;"rhodium";"rodio"
46;"Pd";"palladium";;"paladio";;"palladium";"paladio"
47;"Ag";"zilver";;"plata";;"silver";"plata"
48;"Cd";"cadmium";;"katmio ";;"cadmium";"cadmio"
49;"In";"indium";;"indio";;"indium";"indio"
50;"Sn";"tin";;"ten, staña";;"tin";"estaño"
51;"Sb";"antimoon";;"antimono";;"antimony";"antimonio"
52;"Te";"telluur";"tellurium";"telurio";;"tellurium";"teluro"
53;"I";"jood";"jodium";"yodo";;"iodine";"yodo"
54;"Xe";"xenon";;"xenòn";;"xenon";"xenón"
55;"Cs";"cesium";;"sesio";;"caesium";"cesio"
56;"Ba";"barium";;"bario";;"barium";"bario"
57;"La";"lanthaan";;"lantano";;"lanthanum";"lantano"
58;"Ce";"cerium";;"serio";;"cerium";"cerio"
59;"Pr";"praseodymium";;"praseodimio";;"praseodymium";"praseodimio"
60;"Nd";"neodymium";;"neodimio";;"neodymium";"neodimio"
61;"Pm";"promethium";;"prometio";;"promethium";"prometio"
62;"Sm";"samarium";;"samario";;"samarium";"samario"
63;"Eu";"europium";;"europio";;"europium";"europio"
64;"Gd";"gadolinium";;"gadolinio";;"gadolinium";"gadolinio"
65;"Tb";"terbium";;"terbio";;"terbium";"terbio"
66;"Dy";"dysprosium";;"disprosio";;"dysprosium";"disprosio"
67;"Ho";"holmium";;"holmio";;"holmium";"holmio"
68;"Er";"erbium";;"erbio";;"erbium";"erbio"
69;"Tm";"thulium";;"thulio";;"thulium";"tulio"
70;"Yb";"ytterbium";;"iterbio";;"ytterbium";"yterbio"
71;"Lu";"lutetium";;"lutetio";;"lutetium";"lutecio"
72;"Hf";"hafnium";;"hafnio";;"hafnium";"hafnio"
73;"Ta";"tantaal";"tantalium";"tántalo";;"tantalum";"tantalio"
74;"W";"wolfraam";;"wolframio";"wòlfram, tunsteno";"tungsten";"wolframio"
75;"Re";"renium";;"renio";;"rhenium";"renio"
76;"Os";"osmium";;"osmio";;"osmium";"osmio"
77;"Ir";"iridium";;"iridio";;"iridium";"iridio"
78;"Pt";"platina";;"plátina";;"platinum";"platino"
79;"Au";"goud";;"oro";;"gold";"oro"
80;"Hg";"kwik";;"kuek";"merkurio";"mercury";"mercurio"
81;"Tl";"thallium";;"thalio";;"thallium";"talio"
82;"Pb";"lood";;"chumbu";;"lead";"plomo"
83;"Bi";"bismut";;"bismut";;"bismuth";"bismuto"
84;"Po";"polonium";;"polonio";;"polonium";"polonio"
85;"At";"astaat";;"astato";;"astatine";"astato"
86;"Rn";"radon";;"radòn";;"radon";"radón"
87;"Fr";"francium";;"fransio";;"francium";"francio"
88;"Ra";"radium";;"radio";;"radium";"radio"
89;"Ac";"actinium";;"aktinio";;"actinium";"actinio"
90;"Th";"thorium";;"thorio";;"thorium";"torio"
91;"Pa";"protactinium";;"protaktinio";;"protactinium";"protactinio"
92;"U";"uranium";"uraan";"uranio";;"uranium";"uranio"
93;"Np";"neptunium";;"neptunio";;"neptunium";"neptunio"
94;"Pu";"plutonium";;"plutonio";;"plutonium";"plutonio"
95;"Am";"americium";;"amerisio";;"americium";"americio"
96;"Cm";"curium";;"kurio";;"curium";"curio"
97;"Bk";"berkelium";;"berkelio";;"berkelium";"berkelio"
98;"Cf";"californium";;"kalifornio";;"californium";"californio"
99;"Es";"einsteinium";;"einsteinio";;"einsteinium";"einsteinio"
100;"Fm";"fermium";;"fermio";;"fermium";"fermio"
101;"Md";"mendelevium";;"medelevio";;"mendelevium";"mendelevio"
102;"No";"nobelium";;"nobelio";;"nobelium";"nobelio"
103;"Lr";"lawrencium";;"laurensio";;"lawrencium";"laurencio"
104;"Rf";"rutherfordium";;"rutherfordio";;"rutherfordium";"rutherfordio"
105;"Db";"dubnium";;"dubnio";;"dubnium";"dubnio"
106;"Sg";"seaborgium";;"seaborgio";;"seaborgium";"seaborgio"
107;"Bh";"bohrium";;"bohrio";;"bohrium";"bohrio"
108;"Hs";"hassium";;"hasio";;"hassium";"hassio"
109;"Mt";"meitnerium";;"meitnerio";;"meitnerium";"meitnerio"
110;"Ds";"darmstadtium";;"darmstadtio";;"darmstadtium";"darmstadtio"
111;"Rg";"röntgenium";;"runtgenio";;"roentgenium";"roentgenio"
112;"Cn";"copernicium";;"kopernisio";;"copernicium";"copernicio"
113;"Nh";"nihonium";;"nihonio";;"nihonium";"nihonio"
114;"Fl";"flerovium";;"flerovio";;"flerovium";"flerovio"
115;"Mc";"moscovium";;"moskovio";;"moscovium";"moscovio"
116;"Lv";"livermorium";;"livermorio";;"livermorium";"livermorio"
117;"Ts";"tennessine";;"teneso";"tenesin";"tennessine";"teneso"
118;"Og";"oganesson";;"oganesòn";;"oganesson";"oganesón"
