"word";"wordtype";"L";"varianten";"context";"english";"spanish"
"abo";"pro p";1;"mi";"gram:  ku funshon di suheto i opheto, pa duna énfasis: Abo Pedro ke; Pedro ke abo";"you";"tú"
"ami";"pro p";1;"bo";"gram: ku funshon di suheto i opheto, pa duna énfasis: Ami Pedro a warda; Pedro a warda ami";"I";"yo"
"anan";"pro p";1;;"AB";"they";"ellos/ellas"
"anos";"pro p";1;;"AB";"we";"nosotros/nosotras"
"apel";"sus";1;;;"apple";"manzana"
"apusina";"sus";1;"apelsina, apersina";;"orange";"naranja"
"awa";"sus";1;;;"water";"agua"
"awe";"atv";1;;;"today";"hoy"
"baka";"sus";1;;;"cow";"vaca"
"batata";"sus";1;;;"potato";"papas/patatas"
"bebe";"ver";1;;;"to drink";"beber"
"bèrdura";"sus";1;;;"vegetables";"verdura"
"bestia";"sus";1;;;"animal";"animal"
"bo";"pro p";1;"bu";"gram: ku funshon di suheto: bo a kome òf komo pronòmber posesivo: bo kuminda. Pero e tin funshon di opheto tin kambio: Pedro a tende bo/bu.";"you";"tú"
"boka";"sus";1;;;"mouth";"boca"
"bokadushi";"sus";1;;;"candy/sweets";"dulces"
"bolo";"sus";1;;;"cake";"torta"
"bolo di apel";"sus";1;;;"apple cake";"torta de manzana"
"bolo di keshi";"sus";1;;;"cheesecake";"torta de queso"
"bolo di wòrtel";"sus";1;;;"carrot cake";"torta de zanahoria"
"bonchi";"sus";1;;;"beans";"fríjoles"
"bùs";"sus";1;;;"bus";"autobus"
"desayuno";"sus";1;;;"breakfast";"desayuno"
"dje";"pro p";1;"e";"gram: despues di un preposishon p,e. den dje, riba dje, banda dje, bou di dje, di dje  ";"he/she/it";"del/de la"
"djus";"sus";1;;;"juice";"jugo"
"dos";"num";1;;;"two";"dos"
"e";"art";1;;"gram: e homber, e apel";"the";"el/la"
"es";"pro d";1;"es";"gram: e karta akí, es karta akí ";"this";"este/esta"
"e";"pro p";1;"el, ele";"gram: den funshon di suheto i opheto: e ta kana; Pedro a ward'é; den funshon di suheto dilanti vokal 'a': el a kana; den funshon di opheto i opheto indirekto entre vokal: ward'ele pa mi; el a bis'el'e";"he/she";"el/ella/lo/la/le"
"esaki";"pro d";1;;;"this";"este/esta"
"fruta";"sus";1;;;"fruit";"fruta"
"galiña";"sus";1;;;"chicken";"gallina/pollo"
"hariña";"sus";1;;;"flour";"harina"
"hasi";"ver";1;;;"to do";"hacer"
"hasa";"ver";1;;;"to fry";"freir"
"herebé";"ver";1;;;"to boil";"hervir"
"kana";"ver";1;;;"to walk";"caminar"
"kara";"sus";1;;;"face";"cara"
"karni";"sus";1;;;"meat";"carne"
"kaska";"ver";1;;;"to peel";"pelar"
"keshi";"sus";1;;;"cheese";"queso"
"kima";"ver";1;;;"to burn";"quemar"
"kòfi";"sus";1;;;"coffee";"café"
"koko";"sus";1;;;"coconut";"coco"
"konènchi";"sus";1;;;"rabbit";"conejo"
"kònkòmber";"sus";1;"kòmkòmber";;"cucumber";"pepino"
"kòpi ";"sus";1;;;"cup";"taza"
"kòrta";"ver";1;;;"to cut";"cortar"
"ku";"pre";1;"kun";"gram: dilanti pronòmber personal, ta agregá 'n': mi ta bai kuné";"with";"con"
"kuminda";"sus";1;;;"food";"comida"
"kuminda di anochi";"sus";1;;;"dinner";"cena"
"kuminda di bestia";"sus";1;;;"animal food";"comida para animales"
"kuminda kayente";"sus";1;;" ";"warm food";"comida caliente"
"kuminda di mèrdia";"sus";1;;;"lunch";"almuerzo"
"kumpra";"ver";1;;;"to buy";"comprar"
"laba";"ver";1;;" ";"to wash";"lavar"
"lesa";"ver";1;;;"to read";"leer"
"lamunchi";"sus";1;;;"lemon";"limón"
"lùnch";"sus";1;;" ";"lunch";"almuerzo"
"makaku";"sus";1;;;"monkey";"mono"
"manteka";"sus";1;;;"butter";"mantequilla"
"mi";"pro p";1;;"gram: mi a bai; bisa mi; mi kas";"my";"mi"
"milon";"sus";1;;;"melon";"melón"
"mira";"ver";1;;;"to see";"mirar"
"na";"pre";1;;;"in";"en"
"nan";"pro p";1;;"gram: nan a bai; bisa nan; nan kas";"they";"ellos/ellas"
"nanishi";"sus";1;"ninishi";;"nose";"nariz"
"no";"atv";1;;"gram: Mi no ta kome";"no";"no"
"nò";"atv";1;;"gram: Nò, mi no ta kome";"no";"¡no! "
"nos";"pro p";1;;"gram: nos a bai; bisa nos; nos kas";"we";"nosotros/nosotras"
"ora ";"sus";1;;;"hour";"hora"
"ora di kome";"sus";1;;;"time to eat";"hora de comer"
"orea";"sus";1;;;"ear";"oreja"
"pa";"pre";1;;;"for";"para"
"pan";"sus";1;;;"bread";"pan"
"pampuna";"sus";1;;;"pumpkin";"calabaza"
"para";"sus";1;;;"bird";"ave/pájaro"
"parada";"sus";1;;;"(bus) stop";"parada"
"patia";"sus";1;;;"watermelon";"sandía"
"pensa";"ver";1;;;"to think";"pensar"
"pidi";"ver";1;;;"to request";"pedir"
"piská";"sus";1;;;"to fish";"pescar"
"riba";"pre";1;;;"above";"encima"
"salu";"sus";1;;;"salt";"sal"
"sena";"sus";1;;;"dinner";"cena"
"simia";"sus";1;;;"seeds";"semilla"
"solo";"sus";1;;;"sun";"sol"
"spinashi";"sus";1;;;"spinach";"espinaca"
"su";"pro p";1;;"gram: su kas ta grandi";"his/hers";"su"
"suku";"sus";1;;;"sugar";"azúcar"
"ta";"par";1;;"mi ta kome";"particle of time: present progressive";"partikula de tiempo: presente progresivo "
"tamarein";"sus";1;;;"tamarind";"tamarindo"
"tarea pa skibi";"sus";3;;;"writting exercise";"ejercicio de escritura"
"teksto pa skucha";"sus";3;;;"text for listening";"texto para escuchar"
"tas di kompra";"sus";1;;;"shoppingbag";"bolsa para las compras"
"te";"sus";1;;;"tea";"té"
"tomati";"sus";1;;;"tomato";"tomate"
"tende";"ver";1;;;"to listen";"oír"
"tempu";"sus";1;;"temu pa tempu";"time";"tiempo"
"traha";"ver";1;;;"to work";"trabajar"
"tres";"num";1;;;"three";"tres"
"un";"num";1;"unu";;"one";"un"
"warda";"ver";1;;;"to wait";"esperar"
"webu";"sus";1;;;"egg";"huevo"
"wòrtel";"sus";1;;;"carrot";"zanahoria"
"wowo";"sus";1;;;"eye";"ojo"
"yerba";"sus";1;;;"grass/herb";"hierba"
