"image";"pap_cw"
"adorno_habrí.jpg";"adorno habrí"
"anker_pa_kosein.jpg";"anker pa kosein"
"anskun_di_trabou.jpg";"anskun di trabou"
"bala_rondó_di_adorno.jpg";"bala rondó di adorno"
"balustrada.jpg";"balustrada"
"beitu.jpg";"beitu"
"bentana_di_sòldu.jpg";"bentana di sòldu"
"bentana_ku_ta_subi_baha.jpg";"bentana ku ta subi baha"
"blòki_un_aden_un_afó.jpg";"blòki un aden un afó"
"blòkskaf.jpg";"blòkskaf"
"bog.jpg";"bog"
"bout.jpg";"bout"
"buibort.jpg";"buibort"
"dak_skeins.jpg";"dak skeins"
"draiskruf.jpg";"draiskruf"
"eskuadra.jpg";"eskuadra"
"etèrnit.jpg";"etèrnit"
"fachada_di_kual_e_parti_ariba_ta_drenta_sali.jpg";"fachada di kual e parti ariba ta drenta sali"
"fachada_dilanti.jpg";"fachada dilanti"
"fachada_di_leshi.jpg";"fachada di leshi"
"fachada_di_túit.jpg";"fachada di túit"
"forma_pa_konkret.jpg";"forma pa konkret"
"furu.jpg";"furu"
"granson.jpg";"granson"
"hefel.jpg";"hefel"
"het.jpg";"het"
"kama_di_heru.jpg";"kama di heru"
"kas_di_kaha.jpg";"kas di kaha"
"kas_pará_bashí.jpg";"kas pará bashí"
"kaya_pavimento.jpg";"kaya pavimento"
"klabu.jpg";"klabu"
"klabu_sin_kabes.jpg";"klabu sin kabes"
"klèm.jpg";"klèm"
"klòs.jpg";"klòs"
"kranchi.jpg";"kranchi"
"krénwa.jpg";"krénwa"
"kuashi.jpg";"kuashi"
"labamano.jpg";"labamano"
"liña.jpg";"liña"
"lùik.jpg";"lùik"
"mashin_di_ranka_klabu.jpg";"mashin di ranka klabu"
"mashin_di_skür.jpg";"mashin di skür"
"mashin_pa_habri_palu.jpg";"mashin pa habri palu"
"mosaiko.jpg";"mosaiko"
"mukel.jpg";"mukel"
"muraya_di_blòki.jpg";"muraya di blòki"
"mur.jpg";"mur"
"nachi.jpg";"nachi"
"nipla.jpg";"nipla"
"panchi_di_dak.jpg";"panchi di dak"
"pasaman.jpg";"pasaman"
"pata_di_kabra.jpg";"pata di kabra"
"pia_di_span.jpg";"pia di span"
"piedra_di_laman.jpg";"piedra di laman"
"pikèt.jpg";"pikèt"
"piki.jpg";"piki"
"pilá_toscano.jpg";"pilá toscano"
"pipa_di_awa.jpg";"pipa di awa"
"pipa_di_gas.jpg";"pipa di gas"
"pipa_di_koriente.jpg";"pipa di koriente"
"pipa.jpg";"pipa"
"piso_ariba.jpg";"piso ariba"
"plaiwut.jpg";"plaiwut"
"plent_abou.jpg";"plent abou"
"póchi_di_wesé.jpg";"póchi di wesé"
"porta_lizu.jpg";"porta lizu"
"ruina.jpg";"ruina"
"saya_ku_djèki.jpg";"saya ku djèki"
"semènt.jpg";"semènt"
"sènterpòns.jpg";"sènterpòns"
"sèntimeter.jpg";"sèntimeter"
"sichi.jpg";"sichi"
"skamir.jpg";"skamir"
"sker.jpg";"sker"
"skruf_pa_muraya.jpg";"skruf pa muraya"
"skruf_pa_palu.jpg";"skruf pa palu"
"span_di_palu.jpg";"span di palu"
"spanplat.jpg";"spanplat"
"tabla.jpg";"tabla"
"trali_di_heru.jpg";"trali di heru"
"trali.jpg";"trali"
"tranké.jpg";"tranké"
"trapi_largu.jpg";"trapi largu"
"wantadó_di_midí.jpg";"wantadó di midí"
"waterpas.jpg";"waterpas"
"waya.jpg";"waya"
"wòldak.jpg";"wòldak"
"yalusi.jpg";"yalusi"
